prodcode,dmdcode,therapyevents,gemscriptcode,productname,drugsubstancename,substancestrength,formulation,routeofadministration,bnfcode,bnfheader,databasebuild
53313,1.31E+16,7,33911020,Prednisolone 20mg/5ml oral suspension,Prednisolone,4mg/1ml,Oral suspension,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201/10020100,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions)/Drugs Which Enhance Neuromuscular Transmission,13-Jan
54118,1.31E+16,3,33915020,Prednisolone 25mg/5ml oral suspension,Prednisolone,5mg/1ml,Oral suspension,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201/10020100,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions)/Drugs Which Enhance Neuromuscular Transmission,März 2013
54434,1.31E+16,4,33907020,Prednisolone 2.5mg/5ml oral suspension,Prednisolone,500microgram/1ml,Oral suspension,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201/10020100,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions)/Drugs Which Enhance Neuromuscular Transmission,13-Apr
55024,1.31E+16,91,34075020,Prednisolone 5mg/5ml oral solution,Prednisolone,1mg/1ml,Oral solution,Oral,03020000/06030200/10010201,Corticosteroids (For Respiratory Conditions)/Glucocorticoid Therapy/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),Mai 2013
55480,1.80E+16,1,6621020,Prednisolone 2.5mg gastro-resistant tablets (Alliance Pharmaceuticals Ltd),Prednisolone,2.5mg,Gastro-resistant tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),Juni 2013
58234,429995001,6,11087020,Prednisolone 10mg/5ml oral solution,Prednisolone,2mg/1ml,Oral solution,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201/10020100,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions)/Drugs Which Enhance Neuromuscular Transmission,Dezember 2013
58384,9.81E+15,146,71571020,Prednisolone 1mg tablets (Almus Pharmaceuticals Ltd),Prednisolone,1mg,Tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),Dezember 2013
59283,2.25E+16,6,16433021,Dilacort 2.5mg gastro-resistant tablets (Auden McKenzie (Pharma Division) Ltd),Prednisolone,2.5mg,Gastro-resistant tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),14-Apr
59338,1.31E+16,2,33901020,Prednisolone 1mg/5ml oral solution,Prednisolone,200microgram/1ml,Oral solution,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201/10020100,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions)/Drugs Which Enhance Neuromuscular Transmission,14-Apr
61132,1.48E+16,0,6605020,Prednisolone 1mg tablets (Boston Healthcare Ltd),Prednisolone,1mg,Tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),14-Sep
63066,2.88E+16,39127,46603021,Prednisolone 2.5mg tablets,Prednisolone,2.5mg,Tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),Mai 2015
63549,2.90E+16,7,48498021,Prednisolone 1mg/ml oral solution (Logixx Pharma Solutions Ltd),Prednisolone,1mg/1ml,Oral solution,Oral,03020000/06030200/10010201,Corticosteroids (For Respiratory Conditions)/Glucocorticoid Therapy/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),Juli 2015
63791,2.94E+16,4368,49059021,Prednisolone 5mg/5ml oral solution unit dose,Prednisolone,1mg/1ml,Oral solution,Oral,03020000/06030200/10010201,Corticosteroids (For Respiratory Conditions)/Glucocorticoid Therapy/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),Juli 2015
64008,2.88E+16,103,46604021,Pevanti 2.5mg tablets (Advanz Pharma),Prednisolone,2.5mg,Tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),15-Aug
64221,432224007,33,11092020,Prednisolone 5mg/5ml oral suspension,Prednisolone,1mg/1ml,Oral suspension,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201/10020100,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions)/Drugs Which Enhance Neuromuscular Transmission,15-Sep
65020,1.31E+16,1,33913020,Prednisolone 25mg/5ml oral solution,Prednisolone,5mg/1ml,Oral solution,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201/10020100,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions)/Drugs Which Enhance Neuromuscular Transmission,Dezember 2015
65626,1.31E+16,3,33899020,Prednisolone 10mg/5ml oral suspension,Prednisolone,2mg/1ml,Oral suspension,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201/10020100,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions)/Drugs Which Enhance Neuromuscular Transmission,März 2016
66015,3.14E+16,13,61162021,Prednisolone Dompe 5mg/5ml oral solution unit dose (Logixx Pharma Solutions Ltd),Prednisolone,1mg/1ml,Oral solution,Oral,03020000/06030200/10010201,Corticosteroids (For Respiratory Conditions)/Glucocorticoid Therapy/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),16-Apr
66645,2.94E+16,5,49060021,Prednisolone 5mg/5ml oral solution unit dose (Logixx Pharma Solutions Ltd),Prednisolone,1mg/1ml,Oral solution,Oral,03020000/06030200/10010201,Corticosteroids (For Respiratory Conditions)/Glucocorticoid Therapy/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),Juli 2016
66914,3.26E+16,4240,67856021,Prednisolone 1mg gastro-resistant tablets,Prednisolone,1mg,Gastro-resistant tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),Juli 2016
67076,1.31E+16,8,33909020,Prednisolone 20mg/5ml oral solution,Prednisolone,4mg/1ml,Oral solution,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201/10020100,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions)/Drugs Which Enhance Neuromuscular Transmission,16-Aug
67559,2.96E+16,1,52010021,Prednisolone 5mg/5ml oral solution unit dose (A A H Pharmaceuticals Ltd),Prednisolone,1mg/1ml,Oral solution,Oral,03020000/06030200/10010201,Corticosteroids (For Respiratory Conditions)/Glucocorticoid Therapy/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),16-Sep
68497,2.25E+16,0,15684021,Prednisolone 2.5mg gastro-resistant tablets (Waymade Healthcare Plc),Prednisolone,2.5mg,Gastro-resistant tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),Dezember 2016
72421,3.34E+16,0,70522021,Prednisolone 1mg gastro-resistant tablets (A A H Pharmaceuticals Ltd),Prednisolone,1mg,Gastro-resistant tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),Juni 2018
73294,1.31E+16,2,33905020,Prednisolone 2.5mg/5ml oral solution,Prednisolone,500microgram/1ml,Oral solution,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201/10020100,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions)/Drugs Which Enhance Neuromuscular Transmission,Oktober 2018
73553,5.29E+13,0,6601020,Prednisolone 1mg tablets (Alliance Healthcare (Distribution) Ltd),Prednisolone,1mg,Tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),Oktober 2018
74239,416533002,4,10956020,Prednisolone 15mg/5ml oral solution,Prednisolone,3mg/1ml,Oral solution,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201/10020100,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions)/Drugs Which Enhance Neuromuscular Transmission,19-Jan
75001,3.01E+16,0,53564021,Prednisolone 1mg tablets (DE Pharmaceuticals),Prednisolone,1mg,Tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),19-Feb
76020,7.79E+14,0,6616020,Prednisolone 2.5mg gastro-resistant tablets (Alliance Healthcare (Distribution) Ltd),Prednisolone,2.5mg,Gastro-resistant tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),Mai 2019
79091,1.31E+16,1,33895020,Prednisolone 1.5mg/5ml oral solution,Prednisolone,300microgram/1ml,Oral solution,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201/10020100,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions)/Drugs Which Enhance Neuromuscular Transmission,Dezember 2019
79930,1.79E+16,0,6620020,Prednisolone 2.5mg gastro-resistant tablets (Phoenix Healthcare Distribution Ltd),Prednisolone,2.5mg,Gastro-resistant tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),20-Feb
80050,3.34E+16,0,70523021,Prednisolone 1mg gastro-resistant tablets (Alliance Healthcare (Distribution) Ltd),Prednisolone,1mg,Gastro-resistant tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),März 2020
80110,3.27E+16,1,68379021,Dilacort 2.5mg gastro-resistant tablets (Crescent Pharma Ltd),Prednisolone,2.5mg,Gastro-resistant tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),März 2020
3345,2.85E+16,297,51562020,Sintisone Tablet (Pharmacia Ltd),Prednisolone Steaglate,,Tablet,Oral,01050200/06030200,Corticosteroids In Chronic Bowel Problems/Glucocorticoid Therapy,1/2/2009
20670,,31,!5795202,PREDNISOLONE E/C,,,,,0,Unknown,1/2/2009
24716,,4,!5795107,PREDNISOLONE E/C,,,,,0,Unknown,1/2/2009
27889,,11,!5795110,PREDNISOLONE,,,,,0,Unknown,1/2/2009
27959,,1,!5795111,PREDNISOLONE,,,,,0,Unknown,1/2/2009
229,325349009,30837,61624020,Cortisone 25mg tablets,Cortisone acetate,25mg,Tablet,Oral,6030200,Glucocorticoid Therapy,9-Feb
2949,373994007,15800,59229020,Prednisone 5mg tablets,Prednisone,5mg,Tablet,Oral,6030200,Glucocorticoid Therapy,9-Feb
3418,325373001,592353,63491020,Hydrocortisone 10mg tablets,Hydrocortisone,10mg,Tablet,Oral,6030200,Glucocorticoid Therapy,9-Feb
3992,325472005,11991,83654020,Deflazacort 6mg tablets,Deflazacort,6mg,Tablet,Oral,6030200,Glucocorticoid Therapy,9-Feb
4535,325374007,70081,63492020,Hydrocortisone 20mg tablets,Hydrocortisone,20mg,Tablet,Oral,6030200,Glucocorticoid Therapy,9-Feb
6098,1.97E+14,13988,58008020,Hydrocortone 10mg tablets (Auden McKenzie (Pharma Division) Ltd),Hydrocortisone,10mg,Tablet,Oral,6030200,Glucocorticoid Therapy,9-Feb
7548,8.79E+15,182,87443020,Cortisone 5mg capsules,Cortisone acetate,5mg,Capsule,Oral,6030200,Glucocorticoid Therapy,9-Feb
7934,6.51E+16,262,2056007,PREDNISONE 30 MG TAB,,,,,0,Unknown,9-Feb
8022,1.36E+17,1050,4512007,PREDSOL 5 MG TAB,,,,,0,Unknown,9-Feb
8261,4.05E+15,61,64591020,Medrone 16mg tablets (Pfizer Ltd),Methylprednisolone,16mg,Tablet,Oral,6030200,Glucocorticoid Therapy,9-Feb
10552,325413007,720,64574020,Methylprednisolone 16mg tablets,Methylprednisolone,16mg,Tablet,Oral,6030200,Glucocorticoid Therapy,9-Feb
10574,1.04E+17,1788,61623020,Cortisone acetate 5mg tablets,Cortisone Acetate,5mg,Tablets,Oral,06030100/06030200,Replacement Corticosteroids For Endocrine Conditions/Glucocorticoid Therapy,9-Feb
10754,1.44E+16,97,49862020,Hydrocortistab 20mg Tablet (Waymade Healthcare Plc),Hydrocortisone,20mg,Tablet,Oral,06030100/06030200,Replacement Corticosteroids For Endocrine Conditions/Glucocorticoid Therapy,9-Feb
12398,6.22E+15,273,48785020,Cortelan 25mg Tablet (Glaxo Laboratories Ltd),Cortisone acetate,25mg,Tablet,Oral,06030100/06030200,Replacement Corticosteroids For Endocrine Conditions/Glucocorticoid Therapy,9-Feb
12400,6.29E+15,1223,48793020,Cortisyl 25mg Tablet (Aventis Pharma),Cortisone acetate,25mg,Tablet,Oral,06030100/06030200,Replacement Corticosteroids For Endocrine Conditions/Glucocorticoid Therapy,9-Feb
13043,7.07E+14,2334,58009020,Hydrocortone 20mg tablets (Auden McKenzie (Pharma Division) Ltd),Hydrocortisone,20mg,Tablet,Oral,6030200,Glucocorticoid Therapy,9-Feb
13615,6.51E+16,580,2057007,PREDNISONE 10 MG TAB,,,,,0,Unknown,9-Feb
14172,325410005,8587,56636020,Methylprednisolone 100mg tablets,Methylprednisolone,100mg,Tablet,Oral,6030200,Glucocorticoid Therapy,9-Feb
15471,7.58E+16,293,2416007,HYDROCORTISONE 25 MG TAB,,,,,0,Unknown,9-Feb
16724,1.10E+17,31,3589007,PREDNISONE 50 MG TAB,,,,,0,Unknown,9-Feb
17263,3.17E+15,161,103007,HYDROCORTISONE SODIUM PHOSPHATE 5 MG SOL,,,,,0,Unknown,9-Feb
17410,325474006,317,83655020,Deflazacort 30mg tablets,Deflazacort,30mg,Tablet,Oral,0,Unknown,9-Feb
18042,4.05E+15,249,56650020,Medrone 100mg tablets (Pfizer Ltd),Methylprednisolone,100mg,Tablet,Oral,6030200,Glucocorticoid Therapy,9-Feb
18637,6.26E+15,596,48789020,Cortistab 25mg Tablet (Waymade Healthcare Plc),Cortisone acetate,25mg,Tablet,Oral,06030100/06030200,Replacement Corticosteroids For Endocrine Conditions/Glucocorticoid Therapy,9-Feb
20577,2.24E+17,2045,83660020,Calcort 6mg Tablet (Shire Pharmaceuticals Ltd),Deflazacort,6mg,Tablet,Oral,06030200/08020200,Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants,9-Feb
21833,6.94E+15,140,48880020,Decortisyl 5mg Tablet (Roussel Laboratories Ltd),Prednisone,5mg,Tablet,Oral,01050200/06030200,Corticosteroids In Chronic Bowel Problems/Glucocorticoid Therapy,9-Feb
23210,6.25E+15,20,48788020,Cortistab 5mg Tablet (Waymade Healthcare Plc),Cortisone Acetate,5mg,Tablet,Oral,06030100/06030200,Replacement Corticosteroids For Endocrine Conditions/Glucocorticoid Therapy,9-Feb
29112,3.96E+15,83,83661020,Calcort 30mg tablets (Shire Pharmaceuticals Ltd),Deflazacort,30mg,Tablet,Oral,0,Unknown,9-Feb
41335,3.76E+15,495,97523020,Calcort 6mg tablets (Sanofi),Deflazacort,6mg,Tablet,Oral,6030200,Glucocorticoid Therapy,10-Feb
43544,2.98E+16,2,51727020,Prednisone 5mg Tablet (Knoll Ltd),Prednisone,5mg,Tablet,Oral,01050200/06030200,Corticosteroids In Chronic Bowel Problems/Glucocorticoid Therapy,10-Sep
44723,1.79E+16,625,98893020,Prednisone 5mg modified-release tablets,Prednisone,5mg,Modified-release tablet,Oral,6030200,Glucocorticoid Therapy,11-Feb
44802,1.79E+16,58,98899020,Lodotra 5mg modified-release tablets (Napp Pharmaceuticals Ltd),Prednisone,5mg,Modified-release tablet,Oral,6030200,Glucocorticoid Therapy,März 2011
53143,3.67E+15,0,6565020,Cortisone 25mg tablets (A A H Pharmaceuticals Ltd),Cortisone acetate,25mg,Tablet,Oral,6030200,Glucocorticoid Therapy,13-Jan
53705,1.45E+17,0,67162020,Cortisone acetate 5mg Capsule (Martindale Pharmaceuticals Ltd),Cortisone acetate,5mg,Capsule,Oral,06030100/06030200,Replacement Corticosteroids For Endocrine Conditions/Glucocorticoid Therapy,13-Feb
53953,2.15E+16,1589,46191020,Hydrocortisone 5mg modified-release tablets,Hydrocortisone,5mg,Modified-release tablet,Oral,6030200,Glucocorticoid Therapy,März 2013
54794,2.15E+16,404,46189020,Hydrocortisone 20mg modified-release tablets,Hydrocortisone,20mg,Modified-release tablet,Oral,6030200,Glucocorticoid Therapy,13-Apr
57931,1.84E+16,0,78292020,Hydrocortisone 20mg tablets (Teva UK Ltd),Hydrocortisone,20mg,Tablet,Oral,6030200,Glucocorticoid Therapy,Dezember 2013
58061,374072009,3,9811020,Prednisone 50mg tablets,Prednisone,50mg,Tablet,Oral,6030200,Glucocorticoid Therapy,Dezember 2013
58592,2.15E+16,370,46190020,Plenadren 20mg modified-release tablets (Shire Pharmaceuticals Ltd),Hydrocortisone,20mg,Modified-release tablet,Oral,6030200,Glucocorticoid Therapy,14-Jan
59418,2.15E+16,192,46192020,Plenadren 5mg modified-release tablets (Shire Pharmaceuticals Ltd),Hydrocortisone,5mg,Modified-release tablet,Oral,6030200,Glucocorticoid Therapy,14-Apr
62656,3.12E+16,1,51888020,Prednisone 5mg Tablet (Hillcross Pharmaceuticals Ltd),Prednisone,5mg,Tablet,Oral,01050200/06030200,Corticosteroids In Chronic Bowel Problems/Glucocorticoid Therapy,März 2015
64787,1.80E+16,10,77481020,Hydrocortisone 10mg tablets (Almus Pharmaceuticals Ltd),Hydrocortisone,10mg,Tablet,Oral,6030200,Glucocorticoid Therapy,15-Nov
65984,1.37E+16,23,75399020,Hydrocortisone 10mg tablets (Accord Healthcare Ltd),Hydrocortisone,10mg,Tablet,Oral,6030200,Glucocorticoid Therapy,16-Apr
66287,3.21E+16,159,62215021,Dexamethasone 8mg soluble tablets sugar free,Dexamethasone sodium phosphate,8mg,Soluble tablet,Oral,06030200/64090000,Glucocorticoid Therapy/Diagnostic Test Of Adrenocortical Insufficiency,Juni 2016
66327,1.37E+16,1,75402020,Hydrocortisone 20mg tablets (Accord Healthcare Ltd),Hydrocortisone,20mg,Tablet,Oral,6030200,Glucocorticoid Therapy,Juni 2016
66666,1.84E+16,0,78289020,Hydrocortisone 10mg tablets (Teva UK Ltd),Hydrocortisone,10mg,Tablet,Oral,6030200,Glucocorticoid Therapy,Juli 2016
66724,2.46E+16,1,26700021,Dexamethasone 10mg capsules,Dexamethasone,10mg,Capsule,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,Juli 2016
68860,3.24E+16,1,65922021,Dexamethasone 8mg soluble tablets sugar free (A A H Pharmaceuticals Ltd),Dexamethasone sodium phosphate,8mg,Soluble tablet,Oral,06030200/64090000,Glucocorticoid Therapy/Diagnostic Test Of Adrenocortical Insufficiency,17-Feb
70893,3.48E+16,10,78467021,Dexamethasone 40mg tablets,Dexamethasone,40mg,Tablet,Oral,8020200,Corticosteroids And Other Immunosuppressants,Dezember 2017
73216,3.56E+16,151,81384021,Dexamethasone 8mg tablets,Dexamethasone,8mg,Tablet,Oral,6030200,Glucocorticoid Therapy,18-Sep
76671,3.57E+16,5,82222021,Alkindi 5mg granules in capsules for opening (Diurnal Ltd),Hydrocortisone,5mg,Granules,Oral,6030200,Glucocorticoid Therapy,Juli 2019
77646,8.58E+15,30,20237020,Hydrocortisone 25mg/5ml oral suspension,Hydrocortisone,5mg/1ml,Oral suspension,Oral,6030200,Glucocorticoid Therapy,19-Aug
77994,3.69E+16,7,86533021,Hydventia 10mg tablets (OcXia),Hydrocortisone,10mg,Tablet,Oral,6030200,Glucocorticoid Therapy,19-Sep
78839,3.30E+16,1,70319021,Deflazacort 22.75mg/1ml oral suspension,Deflazacort,22.75mg/1ml,Oral suspension,Oral,6030200,Glucocorticoid Therapy,19-Nov
186,325365005,1275,62323020,Dexamethasone 500micrograms/5ml oral solution,Dexamethasone,100microgram/1ml,Oral solution,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,9-Feb
1280,325356003,300698,62322020,Dexamethasone 2mg tablets,Dexamethasone,2mg,Tablet,Oral,06030200/64090000,Glucocorticoid Therapy/Diagnostic Test Of Adrenocortical Insufficiency,9-Feb
1971,3.69E+15,24515,54445020,Betnesol 500microgram soluble tablets (Focus Pharmaceuticals Ltd),Betamethasone sodium phosphate,500microgram,Soluble tablet,Oral,6030200,Glucocorticoid Therapy,9-Feb
2044,1.00E+17,515,3256007,PREDNISONE 2.5 MG TAB,,,,,0,Unknown,9-Feb
2130,325412002,2695,64573020,Methylprednisolone 4mg tablets,Methylprednisolone,4mg,Tablet,Oral,6030200,Glucocorticoid Therapy,9-Feb
3557,418349006,4569,59228020,Prednisone 1mg tablets,Prednisone,1mg,Tablet,Oral,6030200,Glucocorticoid Therapy,9-Feb
4779,325355004,101671,62321020,Dexamethasone 500microgram tablets,Dexamethasone,500microgram,Tablet,Oral,06030200/64090000,Glucocorticoid Therapy/Diagnostic Test Of Adrenocortical Insufficiency,9-Feb
4943,3.71E+16,25508,75320020,Dexamethasone 2mg/5ml oral solution sugar free,Dexamethasone sodium phosphate,400microgram/1ml,Oral solution,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,9-Feb
5157,1.97E+17,869,75321020,Dexamethasone 2mg/5ml oral solution,Dexamethasone,2mg/5ml,Oral Solution,Oral,6030200,Glucocorticoid Therapy,9-Feb
7286,325344004,39067,75121020,Betamethasone 500microgram soluble tablets sugar free,Betamethasone sodium phosphate,500microgram,Soluble tablet,Oral,6030200,Glucocorticoid Therapy,9-Feb
9375,325476008,1733,83656020,Deflazacort 1mg tablets,Deflazacort,1mg,Tablet,Oral,6030200,Glucocorticoid Therapy,9-Feb
9994,3.29E+15,565,57978020,Decadron 500microgram tablets (Merck Sharp & Dohme Ltd),Dexamethasone,500microgram,Tablet,Oral,06030200/64090000,Glucocorticoid Therapy/Diagnostic Test Of Adrenocortical Insufficiency,9-Feb
10683,4.05E+15,1917,64589020,Medrone 2mg tablets (Pfizer Ltd),Methylprednisolone,2mg,Tablet,Oral,6030200,Glucocorticoid Therapy,9-Feb
